datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,XLK_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread,close_XLK_spread
2023-04-18 18:00:00-04:00,89.96,89.99,89.83,89.86,14944.0,89.881,48,2023-04-18 18:00:00-04:00,16.83,318.65,74.67,-0.001111605157847917,0.0031257149910527233,0.006034426191444836,-228.78999999999996,15.189999999999998
2023-04-18 19:00:00-04:00,89.86,90.02,89.8,89.97,22037.0,89.923,87,2023-04-18 19:00:00-04:00,16.83,318.54,74.67,0.0012241264188737055,0.0028545329571229797,0.010327744797240974,-228.57000000000002,15.299999999999997
2023-04-19 04:00:00-04:00,89.59,89.85,89.11,89.32,4978.0,89.38,29,2023-04-19 04:00:00-04:00,17.33,317.01,74.39,-0.00722463043236643,0.0032839201911541893,0.002428016718099845,-227.69,14.929999999999993
2023-04-19 05:00:00-04:00,89.2,89.24,88.81,88.9,22201.0,89.094,66,2023-04-19 05:00:00-04:00,17.69,316.07,74.16,-0.004702194357366629,0.003427121500370553,0.010849864071254984,-227.17,14.740000000000009
2023-04-19 06:00:00-04:00,88.9,89.03,88.9,89.03,16641.0,88.924,46,2023-04-19 06:00:00-04:00,17.44,316.59,74.16,0.0014623172103487292,0.003454046863858796,0.008134423238181372,-227.55999999999997,14.870000000000005
2023-04-19 07:00:00-04:00,89.0,89.2,88.75,88.83,56182.0,88.905,162,2023-04-19 07:00:00-04:00,17.48,316.56,74.28,-0.0022464337863641326,0.0034772242176454734,0.02744286404205711,-227.73000000000002,14.549999999999997
2023-04-19 08:00:00-04:00,89.02,90.19,88.51,88.59,112196.0,88.736,357,2023-04-19 08:00:00-04:00,17.32,316.28,74.19,-0.002701789935832477,0.0029018016892356506,0.05466335611890757,-227.68999999999997,14.400000000000006
2023-04-19 09:00:00-04:00,88.59,90.07,88.22,89.25,6542806.0,89.469,21100,2023-04-19 09:00:00-04:00,16.92,316.63,74.12,0.0074500507958008555,0.0034033122683930638,2.749937391151651,-227.38,15.129999999999995
2023-04-19 10:00:00-04:00,89.26,89.72,88.97,89.47,5167141.0,89.318,19093,2023-04-19 10:00:00-04:00,16.55,317.68,74.39,0.002464985994397706,0.003464252220875863,1.9594869773041894,-228.21,15.079999999999998
2023-04-19 11:00:00-04:00,89.48,89.8,89.38,89.5,2843514.0,89.568,11125,2023-04-19 11:00:00-04:00,16.35,318.52,74.5,0.0003353079244439172,0.0034374765877277246,1.024423601090441,-229.01999999999998,15.0
2023-04-19 12:00:00-04:00,89.5,90.03,89.09,89.9,3187845.0,89.629,11258,2023-04-19 12:00:00-04:00,16.39,318.93,74.61,0.004469273743016755,0.0035187045961207965,1.091149523898697,-229.03,15.290000000000006
2023-04-19 13:00:00-04:00,89.9,90.54,89.85,90.32,3956208.0,90.223,14455,2023-04-19 13:00:00-04:00,16.32,319.33,74.64,0.004671857619577224,0.003706418243295918,1.4893732724145432,-229.01,15.679999999999993
2023-04-19 14:00:00-04:00,90.31,90.44,89.68,89.9,3743374.0,89.966,13528,2023-04-19 14:00:00-04:00,16.28,319.31,74.66,-0.004650132860938738,0.0036410330274528942,1.567575968802199,-229.41,15.240000000000009
2023-04-19 15:00:00-04:00,89.89,90.08,89.57,89.92,5048495.0,89.895,20110,2023-04-19 15:00:00-04:00,16.35,318.74,74.61,0.00022246941045600543,0.0036045695003801095,2.1243409082211233,-228.82,15.310000000000002
2023-04-19 16:00:00-04:00,89.94,89.95,89.64,89.75,1429868.0,89.932,254,2023-04-19 16:00:00-04:00,16.46,318.36,74.5,-0.0018905693950178604,0.0036161309639374368,0.6242106880235695,-228.61,15.25
2023-04-19 17:00:00-04:00,89.73,89.83,89.69,89.77,26580.0,89.756,80,2023-04-19 17:00:00-04:00,16.46,318.2,74.5,0.00022284122562665765,0.0035568073754350987,0.0124621710048978,-228.43,15.269999999999996
2023-04-19 18:00:00-04:00,89.81,89.83,89.71,89.73,19546.0,89.748,60,2023-04-19 18:00:00-04:00,16.46,317.87,74.5,-0.0004455831569565305,0.003500270466226675,0.009926366834457443,-228.14,15.230000000000004
2023-04-19 19:00:00-04:00,89.71,89.86,89.5,89.55,19450.0,89.633,83,2023-04-19 19:00:00-04:00,16.46,317.42,74.42,-0.0020060180541625616,0.0035049831114627966,0.011387130136719038,-227.87,15.129999999999995
2023-04-20 04:00:00-04:00,89.2,89.2,88.6,88.6,6354.0,88.826,27,2023-04-20 04:00:00-04:00,17.47,315.29,74.01,-0.010608598548297099,0.004136767320601729,0.003939748021057872,-226.69000000000003,14.58999999999999
2023-04-20 05:00:00-04:00,88.59,88.88,88.59,88.88,1756.0,88.685,13,2023-04-20 05:00:00-04:00,17.31,315.59,73.92,0.0031602708803610824,0.004230100288078257,0.001089258533776133,-226.70999999999998,14.959999999999994
