datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread
2025-03-14 17:00:00-04:00,101.8,101.8,101.56,101.56,400.0,101.62,2,2025-03-14 17:00:00-04:00,21.77,478.6,0.000591133004926192,0.004684771349501786,0.0018997722885440644,-377.04
2025-03-14 18:00:00-04:00,101.61,101.61,101.61,101.61,326.0,101.61,2,2025-03-14 18:00:00-04:00,21.77,478.67,0.0004923198109492155,0.004516064011496811,0.0016768391479188164,-377.06
2025-03-14 19:00:00-04:00,101.61,101.61,101.61,101.61,0.0,101.61,0,2025-03-14 19:00:00-04:00,21.77,479.18,0.0,0.003913948869603115,0.0,-377.57
2025-03-17 04:00:00-04:00,101.65,101.9,101.65,101.9,407.0,101.831,3,2025-03-17 04:00:00-04:00,22.55,477.63,0.002854049798248326,0.003925522642594959,0.0031097283304655577,-375.73
2025-03-17 05:00:00-04:00,101.9,101.9,101.9,101.9,0.0,101.9,0,2025-03-17 05:00:00-04:00,22.46,477.74,0.0,0.0038690682924412555,0.0,-375.84000000000003
2025-03-17 06:00:00-04:00,101.9,101.9,101.9,101.9,0.0,101.9,0,2025-03-17 06:00:00-04:00,22.15,479.17,0.0,0.003722299051508998,0.0,-377.27
2025-03-17 07:00:00-04:00,101.68,101.68,101.68,101.68,260.0,101.68,2,2025-03-17 07:00:00-04:00,22.18,479.21,-0.0021589793915602895,0.0036805214825338145,0.0019930175397041673,-377.53
2025-03-17 08:00:00-04:00,101.75,102.49,101.75,102.47,1374.0,102.012,8,2025-03-17 08:00:00-04:00,21.86,480.83,0.0077694728560187,0.003806866447711472,0.010527190837513117,-378.36
2025-03-17 09:00:00-04:00,102.01,103.79,101.46,103.02,126786.0,102.546,671,2025-03-17 09:00:00-04:00,21.85,481.7,0.005367424612081617,0.0038899117720168973,0.9264024252795497,-378.68
2025-03-17 10:00:00-04:00,103.0,103.4,102.28,102.45,214109.0,102.866,1436,2025-03-17 10:00:00-04:00,21.21,479.19,-0.005532906231799584,0.004096249653737766,1.4516459827674286,-376.74
2025-03-17 11:00:00-04:00,102.55,103.36,102.32,103.17,199452.0,102.896,954,2025-03-17 11:00:00-04:00,21.11,479.06,0.007027818448023471,0.004274775892201404,1.2676130186905108,-375.89
2025-03-17 12:00:00-04:00,103.2,103.79,102.98,103.3,139081.0,103.37,968,2025-03-17 12:00:00-04:00,20.78,479.51,0.0012600562178928243,0.0039570675689471055,0.8474030494226545,-376.21
2025-03-17 13:00:00-04:00,103.3,103.95,103.1,103.53,164952.0,103.561,981,2025-03-17 13:00:00-04:00,20.46,482.35,0.002226524685382314,0.003911207230225389,1.0825454702961523,-378.82000000000005
2025-03-17 14:00:00-04:00,103.5,104.51,103.49,104.5,240381.0,103.904,1459,2025-03-17 14:00:00-04:00,20.42,485.34,0.009369264947358236,0.004178143222188349,1.633269974571564,-380.84
2025-03-17 15:00:00-04:00,104.52,105.11,103.54,103.97,1253923.0,104.515,6634,2025-03-17 15:00:00-04:00,20.48,482.73,-0.005071770334928227,0.004145840234247066,6.521306452875336,-378.76
2025-03-17 16:00:00-04:00,103.97,105.11,103.73,105.11,449321.0,103.97,39,2025-03-17 16:00:00-04:00,20.51,482.73,0.010964701356160456,0.004594450479167938,2.171891393104362,-377.62
2025-03-17 17:00:00-04:00,104.0,104.0,104.0,104.0,170.0,104.0,1,2025-03-17 17:00:00-04:00,20.51,482.88,-0.010560365331557464,0.00523608962148776,0.0008539664607184219,-378.88
2025-03-17 18:00:00-04:00,104.0,104.0,104.0,104.0,0.0,104.0,0,2025-03-17 18:00:00-04:00,20.51,483.11,0.0,0.005231074791148243,0.0,-379.11
2025-03-17 19:00:00-04:00,104.5,104.5,104.5,104.5,268.0,104.5,1,2025-03-17 19:00:00-04:00,20.51,482.54,0.004807692307692291,0.005279202108341972,0.0016429587111601955,-378.04
2025-03-18 04:00:00-04:00,104.27,104.27,104.27,104.27,100.0,104.27,1,2025-03-18 04:00:00-04:00,20.5,482.21,-0.0022009569377990923,0.0052581975297982,0.0007165094525509528,-377.94
2025-03-18 05:00:00-04:00,104.27,104.27,104.27,104.27,0.0,104.27,0,2025-03-18 05:00:00-04:00,20.74,481.35,0.0,0.005264406197071976,0.0,-377.08000000000004
2025-03-18 06:00:00-04:00,103.51,103.51,103.51,103.51,187.0,103.51,1,2025-03-18 06:00:00-04:00,20.82,481.44,-0.007288769540615636,0.005606062769099679,0.0013401314547126942,-377.93
