datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread
2024-03-19 09:00:00-04:00,142.08,142.12,140.52,140.92,60359.0,141.222,309,2024-03-19 09:00:00-04:00,14.53,434.24,-0.0041693166560666794,0.004786819851441082,0.47519980412248175,-293.32000000000005
2024-03-19 10:00:00-04:00,140.81,140.81,139.13,139.34,85652.0,139.558,607,2024-03-19 10:00:00-04:00,14.09,434.85,-0.011212035197274983,0.005406927316488215,0.7420106850508913,-295.51
2024-03-19 11:00:00-04:00,139.33,139.54,138.96,139.4,76399.0,139.264,527,2024-03-19 11:00:00-04:00,14.07,435.87,0.00043060140663131463,0.0054081653939472285,1.154930514298499,-296.47
2024-03-19 12:00:00-04:00,139.38,140.7,139.33,140.14,197413.0,140.039,1214,2024-03-19 12:00:00-04:00,14.07,437.9,0.005308464849354211,0.005562422661221918,2.596823638746951,-297.76
2024-03-19 13:00:00-04:00,140.17,140.7,140.0,140.3,135104.0,140.349,876,2024-03-19 13:00:00-04:00,14.04,438.39,0.0011417154274298014,0.005570884498732422,1.632160954574476,-298.09
2024-03-19 14:00:00-04:00,140.32,141.31,140.32,140.99,174352.0,140.755,1127,2024-03-19 14:00:00-04:00,14.08,438.42,0.004918032786885185,0.005686792929873374,1.9056165038595532,-297.43
2024-03-19 15:00:00-04:00,140.97,141.93,140.58,141.74,285824.0,141.401,2201,2024-03-19 15:00:00-04:00,13.86,438.58,0.00531952620753251,0.005802243636257345,2.702114524867671,-296.84
2024-03-19 16:00:00-04:00,141.74,141.74,141.74,141.74,552506.0,141.74,9,2024-03-19 16:00:00-04:00,13.82,438.6,0.0,0.005802243636257345,4.141624788610768,-296.86
2024-03-19 17:00:00-04:00,141.74,141.74,141.74,141.74,0.0,141.74,0,2024-03-19 17:00:00-04:00,13.82,438.68,0.0,0.00397718337915122,0.0,-296.94
2024-03-19 18:00:00-04:00,141.74,141.74,141.74,141.74,0.0,141.74,0,2024-03-19 18:00:00-04:00,13.82,438.7,0.0,0.003923128244958198,0.0,-296.96
2024-03-19 19:00:00-04:00,141.0,141.0,141.0,141.0,195.0,141.0,1,2024-03-19 19:00:00-04:00,13.82,438.52,-0.005220826866092931,0.003977892362295298,0.0017101565319428739,-297.52
2024-03-20 08:00:00-04:00,141.0,141.0,135.07,138.51,14501.0,137.327,91,2024-03-20 08:00:00-04:00,14.13,439.31,-0.017659574468085193,0.0054480614953584736,0.12938310819250878,-300.8
2024-03-20 09:00:00-04:00,138.1,141.73,138.0,141.11,157122.0,140.245,786,2024-03-20 09:00:00-04:00,14.17,438.39,0.018771207855028615,0.007073626133626607,1.3317094008401054,-297.28
2024-03-20 10:00:00-04:00,141.11,141.5,138.5,140.07,154179.0,140.016,998,2024-03-20 10:00:00-04:00,13.99,438.47,-0.007370136772730684,0.007231403118501856,1.259196675006646,-298.40000000000003
2024-03-20 11:00:00-04:00,140.03,140.57,139.31,139.56,87250.0,140.023,583,2024-03-20 11:00:00-04:00,13.98,438.89,-0.0036410366245448467,0.007227004728065874,0.7521694376962321,-299.33
2024-03-20 12:00:00-04:00,139.54,139.74,139.01,139.25,93389.0,139.41,662,2024-03-20 12:00:00-04:00,13.86,439.14,-0.0022212668386357715,0.007227117272817665,0.9003757631559285,-299.89
2024-03-20 13:00:00-04:00,139.19,140.85,139.1,140.54,77395.0,139.891,540,2024-03-20 13:00:00-04:00,13.94,438.75,0.009263913824057335,0.007584396498937874,0.7193378689865417,-298.21000000000004
2024-03-20 14:00:00-04:00,140.75,141.7,140.07,141.08,217172.0,140.987,1522,2024-03-20 14:00:00-04:00,13.27,442.21,0.0038423224704711156,0.007647810913651155,1.8334394253807071,-301.13
